,price,Address,area,Bedrooms,Bathrooms,Status,Furnished_status,Price_sqft
63,4300000.0,other,1295.0,2.0,2.0,Ready to Move,Unfurnished,3320.4633204633205
64,23800000.0,other,3500.0,4.0,5.0,Ready to Move,Unfurnished,6800.0
65,10500000.0,other,1850.0,3.0,4.0,Ready to Move,Unfurnished,5675.675675675676
66,10800000.0,other,1966.0,2.0,2.0,Ready to Move,Unfurnished,5493.387589013225
67,5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1350.0,2.0,2.0,Ready to Move,Furnished,4074.074074074074
68,4320000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040.0,2.0,2.0,Ready to Move,Unfurnished,4153.846153846154
69,3000000.0,other,800.0,2.0,2.0,Ready to Move,Semi-Furnished,3750.0
70,3500000.0,other,950.0,2.0,2.0,Ready to Move,Unfurnished,3684.2105263157896
71,16000000.0,other,2000.0,4.0,4.0,Ready to Move,Semi-Furnished,8000.0
72,3000000.0,other,900.0,2.0,2.0,Ready to Move,Unfurnished,3333.333333333333
73,3300000.0,other,960.0,2.0,2.0,Ready to Move,Unfurnished,3437.5
74,8200000.0,other,1371.0,2.0,2.0,Ready to Move,Unfurnished,5981.035740335522
75,6000000.0,other,1750.0,3.0,3.0,Ready to Move,Unfurnished,3428.5714285714284
76,4100000.0,other,1299.0,3.0,2.0,Ready to Move,Unfurnished,3156.2740569668977
77,5200000.0,other,1365.0,3.0,2.0,Ready to Move,Furnished,3809.5238095238096
78,21000000.0,other,2800.0,4.0,5.0,Ready to Move,Unfurnished,7500.0
79,2650000.0,other,835.0,2.0,2.0,Ready to Move,Unfurnished,3173.6526946107783
80,10000000.0,other,1000.0,2.0,2.0,Ready to Move,Unfurnished,10000.0
81,4500000.0,other,1000.0,3.0,2.0,Ready to Move,Semi-Furnished,4500.0
82,6900000.0,other,1260.0,2.0,2.0,Ready to Move,Unfurnished,5476.190476190476
83,13500000.0,other,2425.0,4.0,4.0,Ready to Move,Semi-Furnished,5567.01030927835
84,4500000.0,other,1198.0,3.0,2.0,Ready to Move,Furnished,3756.260434056762
85,32500000.0,other,3000.0,3.0,3.0,Ready to Move,Unfurnished,10833.333333333334
86,11000000.0,other,1743.0,3.0,3.0,Ready to Move,Unfurnished,6310.9581181870335
87,3200000.0,other,650.0,2.0,2.0,Ready to Move,Unfurnished,4923.076923076923
88,3200000.0,other,815.0,2.0,2.0,Ready to Move,Unfurnished,3926.38036809816
89,3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0,Ready to Move,Unfurnished,3238.095238095238
90,11100000.000000002,other,2100.0,4.0,3.0,Ready to Move,Furnished,5285.714285714286
91,3500000.0,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900.0,2.0,2.0,Ready to Move,Unfurnished,3888.8888888888887
92,12500000.0,other,1836.0,3.0,3.0,Ready to Move,Unfurnished,6808.278867102396
93,8500000.0,other,1495.0,3.0,2.0,Ready to Move,Unfurnished,5685.61872909699
94,4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,2.0,2.0,Ready to Move,Unfurnished,4038.4615384615386
95,82000000.0,other,5495.0,5.0,6.0,Ready to Move,Unfurnished,14922.65696087352
96,9000000.0,other,1250.0,2.0,2.0,Ready to Move,Unfurnished,7200.0
97,14000000.0,other,2500.0,3.0,2.0,Ready to Move,Semi-Furnished,5600.0
98,8900000.0,"Sector 37D, Gurgaon, Delhi NCR",1815.0,3.0,3.0,Ready to Move,Unfurnished,4903.581267217631
99,3200000.0,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041.0,2.0,2.0,Ready to Move,Unfurnished,3073.967339097022
100,15000000.0,other,2000.0,4.0,4.0,Ready to Move,Unfurnished,7500.0
101,9200000.0,other,1960.0,3.0,3.0,Ready to Move,Unfurnished,4693.877551020408
102,11500000.0,other,1963.0,3.0,3.0,Ready to Move,Unfurnished,5858.380030565461
103,6000000.0,other,1246.0,2.0,2.0,Ready to Move,Unfurnished,4815.409309791332
104,3900000.0,other,1085.0,2.0,2.0,Ready to Move,Unfurnished,3594.470046082949
105,3600000.0,other,995.0,2.0,2.0,Ready to Move,Unfurnished,3618.0904522613055
106,49000000.0,other,6168.0,5.0,5.0,Ready to Move,Semi-Furnished,7944.228274967574
107,7500000.0,"Sector 77, Gurgaon, Delhi NCR",1260.0,2.0,2.0,Ready to Move,Unfurnished,5952.380952380952
108,18000000.0,other,1700.0,4.0,3.0,Ready to Move,Unfurnished,10588.235294117649
109,17200000.0,other,2025.0,3.0,2.0,Ready to Move,Unfurnished,8493.827160493827
110,17000000.0,other,1600.0,3.0,2.0,Ready to Move,Semi-Furnished,10625.0
111,5500000.0,other,1150.0,3.0,2.0,Ready to Move,Semi-Furnished,4782.608695652174
112,13000000.0,other,2300.0,4.0,4.0,Ready to Move,Unfurnished,5652.173913043478
113,9900000.0,other,1760.0,3.0,2.0,Ready to Move,Unfurnished,5625.0
114,7000000.0,other,559.0,2.0,2.0,Ready to Move,Unfurnished,12522.36135957066
115,5150000.0,other,1234.0,2.0,2.0,Ready to Move,Unfurnished,4173.419773095624
116,7500000.0,other,700.0,2.0,2.0,Ready to Move,Unfurnished,10714.285714285714
117,2630000.0,other,750.0,3.0,2.0,Ready to Move,Unfurnished,3506.6666666666665
118,4600000.0,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000.0,3.0,2.0,Under Construction,Unfurnished,4600.0
119,7500000.0,other,1390.0,3.0,2.0,Ready to Move,Unfurnished,5395.6834532374105
120,7000000.0,other,1326.0,3.0,3.0,Ready to Move,Unfurnished,5279.034690799396
121,5800000.0,other,1270.0,3.0,3.0,Ready to Move,Unfurnished,4566.929133858268
122,5200000.0,"Sector 143, Noida, Delhi NCR",1175.0,2.0,2.0,Ready to Move,Unfurnished,4425.531914893617
123,26000000.0,other,3755.0,4.0,6.0,Ready to Move,Unfurnished,6924.101198402131
